Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00061402,0.010592,7.3579E-19,0,0,0,0.07195,1.7544E-05,-1.877E-07,-5.8483E-21,5.253E-05,5.6668E-23,3.969E-05,0,0,0,0,0,0,package://two_diff_car/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://two_diff_car/meshes/base_link.STL,,1_zhuti-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_Link,0.0075,0,3.4694E-18,0,0,0,0.0047124,2.3562E-07,-6.8299E-40,1.1479E-39,2.0617E-07,0,2.0617E-07,0,0,0,0,0,0,package://two_diff_car/meshes/left_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://two_diff_car/meshes/left_Link.STL,,1_lun-2,Origin_left_Joint2,Axis_left_Joint2,left_Joint,continuous,-0.025,0.015,0,1.5708,0,1.5708,base_link,1,0,0,,,,,,,,,,,,
right_Link,0.0075,0,0,0,0,0,0.0047124,2.3562E-07,1.0066E-24,-6.7464E-24,2.0617E-07,-6.6174E-24,2.0617E-07,0,0,0,0,0,0,package://two_diff_car/meshes/right_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://two_diff_car/meshes/right_Link.STL,,1_lun-1,Origin_right_Joint2,Axis_right_Joint2,right_Joint,continuous,-0.025,-0.015,0,-1.9639,0,-1.5708,base_link,1,0,0,,,,,,,,,,,,
forward_Link_1,2.0723E-11,-0.0026657,7.1151E-20,0,0,0,0.00035103,6.1616E-09,1.5732E-16,-4.3864E-15,2.4351E-09,-1.1002E-24,4.8495E-09,0,0,0,0,0,0,package://two_diff_car/meshes/forward_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://two_diff_car/meshes/forward_Link_1.STL,,1_link-2,Origin_forward_Joint_12,Axis_forward_Joint_12,forward_Joint_1,continuous,0.025,0,0,-1.5708,0,0.00039905,base_link,0,1,0,,,,,,,,,,,,
forward_Link_2,1.6535E-09,-0.00032964,-4.8663E-09,0,0,0,0.0027921,1.4959E-07,1.1563E-13,-3.844E-14,1.0229E-07,4.1601E-13,9.5915E-08,0,0,0,0,0,0,package://two_diff_car/meshes/forward_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://two_diff_car/meshes/forward_Link_2.STL,,1_lun2-1,Origin_forward_Joint_22,,forward_Joint_2,fixed,0,0,0,3.1416,1.5708,0,forward_Link_1,1,0,0,,,,,,,,,,,,
